year,month,tourist arrival,USD,GDP (current US$),Kerosine type jet fuel (U.S. Gulf Coast Kerosene-Type Jet Fuel Spot Price FOB (Dollars per Gallon)),festival,mean_temp,max_temp,min_temp,total_precip,Sri Lanka tourism,Sri Lanka travel,date
2020,6,47711.0,185.9545,84335574582.0,0.983,Poson,25.02466666666667,37.5,11.5,749.9,13.0,21.0,2020-06-01
2020,7,39824.66666666667,185.8487,84335574582.0,1.084,,24.463870967741933,36.2,12.3,959.2,12.0,23.0,2020-07-01
2020,8,31938.333333333336,184.8939,84335574582.0,1.112,Esala Perahera (Kandy),24.42451612903226,36.7,10.9,832.3999999999999,14.0,25.0,2020-08-01
2020,9,24052.0,185.0317,84335574582.0,1.006,,23.821999999999996,36.4,11.7,1347.6999999999998,15.0,22.0,2020-09-01
2020,10,16165.666666666668,184.4379,84335574582.0,1.047,,24.192903225806457,37.0,10.8,667.2,12.0,20.0,2020-10-01
2020,11,8279.333333333336,184.7882,84335574582.0,1.133,,23.73,32.2,10.4,1633.8000000000002,11.0,19.0,2020-11-01
2020,12,393.0,187.1822,84335574582.0,1.324,Christmas,23.053548387096775,30.4,9.3,1367.9000000000003,15.0,23.0,2020-12-01
2021,1,1682.0,190.0,88556698938.0,1.42,,22.925161290322578,30.6,7.7,1601.9,15.0,25.0,2021-01-01
2021,2,3366.0,194.0,88556698938.0,1.601,,23.484285714285715,32.6,8.7,223.1,13.0,24.0,2021-02-01
2021,3,4581.0,197.0,88556698938.0,1.661,,24.07935483870968,35.2,7.0,566.3000000000001,14.0,27.0,2021-03-01
2021,4,4168.0,197.0,88556698938.0,1.669,Sinhala & Tamil New Year,24.786,37.8,9.5,705.6,12.0,29.0,2021-04-01
2021,5,1497.0,200.0,88556698938.0,1.752,Vesak,24.750967741935483,36.3,12.8,1695.1,10.0,37.0,2021-05-01
2021,6,1614.0,200.0,88556698938.0,1.857,Poson,24.467333333333336,36.7,11.6,907.0,11.0,33.0,2021-06-01
2021,7,2429.0,200.0,88556698938.0,1.887,,24.42451612903226,36.7,11.4,1160.9,13.0,39.0,2021-07-01
2021,8,5040.0,200.0,88556698938.0,1.817,Esala Perahera (Kandy),24.08967741935484,36.7,10.4,991.6,11.0,33.0,2021-08-01
2021,9,13547.0,202.0,88556698938.0,2.003,,24.199333333333335,36.8,11.7,934.0,13.0,34.0,2021-09-01
2021,10,22771.0,201.0,88556698938.0,2.296,,23.764516129032256,34.2,12.0,1346.4,15.0,45.0,2021-10-01
2021,11,44294.0,202.0,88556698938.0,2.193,,22.98933333333333,32.3,9.9,2061.8,14.0,49.0,2021-11-01
2022,1,82327.0,199.0,74143020263.0,2.446,,23.069032258064517,33.1,6.5,390.8,19.0,61.0,2022-01-01
2022,2,96507.0,202.0,74143020263.0,2.682,,23.645714285714284,34.7,7.5,396.2000000000001,20.0,67.0,2022-02-01
2022,3,106500.0,256.0,74143020263.0,3.495,,24.449032258064516,34.8,10.4,289.8,24.0,61.0,2022-03-01
2022,4,62980.0,319.0,74143020263.0,3.914,Sinhala & Tamil New Year,24.15266666666667,33.9,10.8,971.6,21.0,51.0,2022-04-01
2022,5,30207.0,359.0,74143020263.0,3.902,Vesak,24.598064516129035,35.4,13.5,1670.9,16.0,46.0,2022-05-01
2022,6,32856.0,360.0,74143020263.0,4.12,Poson,24.295333333333332,36.3,12.3,861.4,15.0,39.0,2022-06-01
2022,7,47293.0,361.0,74143020263.0,3.478,,24.188387096774193,36.1,12.1,804.8,17.0,42.0,2022-07-01
2022,8,37760.0,361.0,74143020263.0,3.339,Esala Perahera (Kandy),23.77032258064516,36.7,11.0,1363.9,15.0,32.0,2022-08-01
2022,9,29802.0,362.0,74143020263.0,3.262,,23.881333333333338,36.4,10.4,645.2,17.0,32.0,2022-09-01
2022,10,42026.0,363.0,74143020263.0,3.715,,23.20193548387097,35.3,10.3,1671.3,16.0,32.0,2022-10-01
2022,11,59759.0,363.0,74143020263.0,3.16,,22.867333333333335,31.5,9.5,1138.1,16.0,30.0,2022-11-01
2022,12,91961.0,363.1652,74143020263.0,2.897,Christmas,22.58774193548387,30.4,7.9,1025.1,15.0,32.0,2022-12-01
2023,1,102545.0,362.0,83716142582.0,3.542,,22.38064516129032,31.0,6.1,493.9,15.0,43.0,2023-01-01
2023,2,107639.0,362.0,83716142582.0,2.79,,23.00642857142857,32.6,6.0,504.1,14.0,38.0,2023-02-01
2023,3,125495.0,329.0,83716142582.0,2.679,,23.937419354838713,33.1,10.4,488.2999999999999,16.0,35.0,2023-03-01
2023,4,105498.0,321.0,83716142582.0,2.374,Sinhala & Tamil New Year,24.856666666666666,36.0,10.3,574.6,13.0,35.0,2023-04-01
2023,5,83309.0,310.0,83716142582.0,2.173,Vesak,24.96838709677419,37.0,11.8,789.0,15.0,33.0,2023-05-01
2023,6,100388.0,301.0,83716142582.0,2.25,Poson,25.118,37.3,12.8,839.4,16.0,35.0,2023-06-01
2023,7,143039.0,319.0,83716142582.0,2.488,,24.60451612903226,37.3,11.7,902.5,16.0,38.0,2023-07-01
2023,8,136405.0,322.0,83716142582.0,2.989,Esala Perahera (Kandy),24.984516129032254,37.5,11.3,538.5,14.0,35.0,2023-08-01
2023,9,111938.0,323.0,83716142582.0,3.12,,23.972,35.5,11.9,1697.4,17.0,39.0,2023-09-01
2023,10,109199.0,325.0,83716142582.0,2.881,,23.432903225806452,33.5,11.6,2245.2,16.0,40.0,2023-10-01
2023,11,151496.0,328.0,83716142582.0,2.734,,23.286,30.4,10.7,2564.4999999999995,16.0,39.0,2023-11-01
2023,12,210352.0,326.7423,83716142582.0,2.387,Christmas,23.486451612903224,32.0,10.0,1756.4,15.0,38.0,2023-12-01
2024,1,208253.0,321.0,98963185510.0,2.585,,23.429032258064517,32.6,6.5,801.4,16.0,51.0,2024-01-01
2024,2,218350.0,313.0,98963185510.0,2.683,,24.566206896551726,35.4,10.0,223.9,16.0,44.0,2024-02-01
2024,3,209181.0,306.0,98963185510.0,2.593,,25.20258064516129,34.5,9.7,310.90000000000003,15.0,42.0,2024-03-01
2024,4,148867.0,299.0,98963185510.0,2.605,Sinhala & Tamil New Year,25.897333333333336,35.9,11.2,588.9000000000001,13.0,37.0,2024-04-01
2024,5,112128.0,300.0,98963185510.0,2.38,Vesak,25.398064516129033,38.1,13.6,2438.1000000000004,15.0,39.0,2024-05-01
2024,6,113470.0,304.0,98963185510.0,2.394,Poson,24.884666666666668,36.2,11.7,1109.1,13.0,39.0,2024-06-01
2024,7,187810.0,304.0,98963185510.0,2.419,,24.930967741935483,37.9,12.5,944.8,14.0,45.0,2024-07-01
2024,8,164609.0,301.0,98963185510.0,2.176,Esala Perahera (Kandy),24.363225806451613,37.1,12.8,1200.2,14.0,47.0,2024-08-01
2024,9,122140.0,301.0,98963185510.0,1.982,,24.64666666666667,36.9,11.3,1007.4,13.0,43.0,2024-09-01
2024,10,135907.0,294.0,98963185510.0,2.068,,23.825806451612905,35.4,11.3,1407.0,14.0,48.0,2024-10-01
2024,11,184158.0,292.0,98963185510.0,2.065,,23.217333333333336,31.4,11.0,2489.1000000000004,15.0,50.0,2024-11-01
2024,12,248592.0,291.6805,98963185510.0,2.097,Christmas,23.55483870967742,32.4,10.5,762.0,14.0,48.0,2024-12-01
2025,1,252761.0,296.0,98963185510.0,2.347,,22.99032258064516,33.6,10.3,1521.4,14.0,48.0,2025-01-01
2025,2,240217.0,297.0,98963185510.0,2.264,,23.86857142857143,35.4,9.1,302.2,14.0,48.0,2025-02-01
2025,3,229298.0,296.0,98963185510.0,2.069,,24.250322580645157,33.8,10.3,603.2,14.0,48.0,2025-03-01
2025,4,174608.0,299.0,98963185510.0,1.976,Sinhala & Tamil New Year,24.402,34.7,12.7,1022.9,14.0,48.0,2025-04-01
2025,5,132919.0,299.0,98963185510.0,1.928,Vesak,24.996129032258064,35.1,12.4,924.2,14.0,48.0,2025-05-01
2025,6,138241.0,300.0,98963185510.0,2.094,Poson,24.721333333333337,36.6,12.5,1033.1,14.0,48.0,2025-06-01
2025,7,200244.0,301.0,98963185510.0,2.244,,24.67935483870968,36.9,12.5,1271.2,14.0,48.0,2025-07-01
2025,8,198235.0,301.4891,98963185510.0,2.024,Esala Perahera (Kandy),24.259354838709676,36.9,11.3,696.1,14.0,48.0,2025-08-01

