year,month,mean_temp,max_temp,min_temp,total_precip
2022,12,25.290322580645157,30.4,20.7,198.60000000000005
2023,1,25.14838709677419,31.0,19.7,85.89999999999998
2023,2,25.567857142857143,32.6,20.3,67.3
2023,3,26.406451612903226,32.3,22.4,141.19999999999996
2023,4,27.310000000000002,32.1,22.8,138.20000000000002
2023,5,27.30322580645161,30.8,23.6,238.29999999999995
2023,6,26.990000000000002,30.2,23.7,379.29999999999995
2023,7,26.88387096774194,29.5,23.0,250.10000000000002
2023,8,27.006451612903227,30.0,24.2,149.6
2023,9,25.993333333333332,29.7,23.5,554.6
2023,10,25.577419354838714,29.8,22.3,564.3999999999999
2023,11,25.503333333333334,30.3,22.5,488.59999999999997
2023,12,25.861290322580643,32.0,22.3,410.3999999999999
2024,1,25.958064516129035,32.6,19.9,138.1
2024,2,27.531034482758624,35.4,20.7,38.3
2024,3,28.038709677419355,34.2,22.6,79.9
2024,4,28.123333333333335,34.2,24.2,177.20000000000002
2024,5,27.709677419354843,32.8,24.1,656.3000000000001
2024,6,27.053333333333335,29.9,23.9,355.6
2024,7,27.129032258064516,30.0,23.3,316.0
2024,8,26.729032258064514,29.6,23.9,334.0
2024,9,26.993333333333336,30.1,23.5,310.4
2024,10,26.264516129032252,30.9,23.4,410.59999999999997
2024,11,25.77,30.9,22.3,354.2
2024,12,26.622580645161293,32.4,22.1,130.0
2025,1,25.61935483870968,33.6,21.5,278.59999999999997
2025,2,27.335714285714285,35.4,20.8,49.0
2025,3,27.229032258064514,33.8,22.7,124.59999999999998
2025,4,27.36333333333334,33.5,23.2,177.0
2025,5,27.764516129032256,32.1,23.9,274.20000000000005
2025,6,27.176666666666666,30.3,23.9,303.2
2025,7,27.18709677419354,30.6,23.7,262.1000000000001
2025,8,26.761290322580642,30.5,23.8,172.6
2025,9,26.880000000000003,30.5,23.0,251.49999999999997
